"ErrorDescription";"Product2Id";"OrderId";"PricebookEntryId";"Quantity";"UnitPrice";"lineItemKey__c"
"No record found in object 'Orders' for lookup by column 'Items' = '36988975048914'.";"01t4T000000ypaSQAQ";"";"";"2";"7.99";"36988975048914"
"No record found in object 'Orders' for lookup by column 'Items' = '48843402820842'.";"01t4T000000ypZQQAY";"";"";"1";"15.15";"48843402820842"
"No record found in object 'Orders' for lookup by column 'Items' = '65915672975538'.";"01t4T000000ypaXQAQ";"";"";"1";"7.99";"65915672975538"
"No record found in object 'Orders' for lookup by column 'Items' = '04794964501650'.";"01t4T000000ypZ5QAI";"";"";"2";"8.99";"04794964501650"
"No record found in object 'Orders' for lookup by column 'Items' = '46003509680410'.";"01t4T000000ypZ9QAI";"";"";"1";"8.5";"46003509680410"
"No record found in object 'Orders' for lookup by column 'Items' = '48239133586426'.";"01t4T000000ypZHQAY";"";"";"1";"15.15";"48239133586426"
"No record found in object 'Orders' for lookup by column 'Items' = '40799757969410'.";"01t4T000000ypZ0QAI";"";"";"1";"8.5";"40799757969410"
"No record found in object 'Orders' for lookup by column 'Items' = '46947853970418'.";"01t4T000000ypajQAA";"";"";"2";"8.41";"46947853970418"
"No record found in object 'Orders' for lookup by column 'Items' = '27479977044922'.";"01t4T000000ypZ2QAI";"";"";"1";"8.5";"27479977044922"
"No record found in object 'Orders' for lookup by column 'Items' = '39469051250162'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"39469051250162"
"No record found in object 'Orders' for lookup by column 'Items' = '61646101254338'.";"01t4T000000ypZbQAI";"";"";"1";"15.15";"61646101254338"
"No record found in object 'Orders' for lookup by column 'Items' = '26062104161834'.";"01t4T000000ypbDQAQ";"";"";"1";"11.18";"26062104161834"
"No record found in object 'Orders' for lookup by column 'Items' = '39068092384778'.";"01t4T000000ypZdQAI";"";"";"1";"15.15";"39068092384778"
"No record found in object 'Orders' for lookup by column 'Items' = '03742895049634'.";"01t4T000000ypZbQAI";"";"";"1";"15.15";"03742895049634"
"No record found in object 'Orders' for lookup by column 'Items' = '64238577535066'.";"01t4T000000ypbDQAQ";"";"";"1";"11.18";"64238577535066"
"No record found in object 'Orders' for lookup by column 'Items' = '66548954612002'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"66548954612002"
"No record found in object 'Orders' for lookup by column 'Items' = '222893953287'.";"";"";"";"1";"72.95";"222893953287"
"No record found in object 'Orders' for lookup by column 'Items' = '35'.";"";"";"";"1";"9.95";"35"
"No record found in object 'Orders' for lookup by column 'Items' = '36'.";"";"";"";"1";"7.95";"36"
"No record found in object 'Orders' for lookup by column 'Items' = '37'.";"";"";"";"1";"9.95";"37"
"No record found in object 'Orders' for lookup by column 'Items' = '38'.";"";"";"";"2";"9.95";"38"
"No record found in object 'Orders' for lookup by column 'Items' = '42'.";"";"";"";"1";"16.95";"42"
"No record found in object 'Orders' for lookup by column 'Items' = '15702167764298'.";"01t4T000000ypajQAA";"";"";"1";"8.41";"15702167764298"
"No record found in object 'Orders' for lookup by column 'Items' = '44'.";"";"";"";"1";"10.95";"44"
"No record found in object 'Orders' for lookup by column 'Items' = '43316467196634'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"43316467196634"
"No record found in object 'Orders' for lookup by column 'Items' = '67525280480218'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"67525280480218"
"No record found in object 'Orders' for lookup by column 'Items' = '07971911776554'.";"01t4T000000ypZCQAY";"";"";"1";"8.5";"07971911776554"
"No record found in object 'Orders' for lookup by column 'Items' = '08709731251698'.";"01t4T000000ypZ5QAI";"";"";"1";"8.99";"08709731251698"
"No record found in object 'Orders' for lookup by column 'Items' = '02112629732074'.";"01t4T000000ypazQAA";"";"";"1";"14.99";"02112629732074"
"No record found in object 'Orders' for lookup by column 'Items' = '69523159025322'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"69523159025322"
"No record found in object 'Orders' for lookup by column 'Items' = '46'.";"";"";"";"1";"9.95";"46"
"No record found in object 'Orders' for lookup by column 'Items' = '47'.";"";"";"";"1";"70.27";"47"
"No record found in object 'Orders' for lookup by column 'Items' = '48'.";"";"";"";"1";"9.95";"48"
"No record found in object 'Orders' for lookup by column 'Items' = '40735648056882'.";"01t4T000000ypb3QAA";"";"";"1";"12.99";"40735648056882"
"No record found in object 'Orders' for lookup by column 'Items' = '34364390023202'.";"01t4T000000ypZCQAY";"";"";"1";"8.5";"34364390023202"
"No record found in object 'Orders' for lookup by column 'Items' = '27001693704146'.";"01t4T000000ypb3QAA";"";"";"2";"12.99";"27001693704146"
"No record found in object 'Orders' for lookup by column 'Items' = '38229669778210'.";"01t4T000000ypajQAA";"";"";"1";"8.41";"38229669778210"
"No record found in object 'Orders' for lookup by column 'Items' = '17169148327778'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"17169148327778"
"No record found in object 'Orders' for lookup by column 'Items' = '67242090179578'.";"01t4T000000ypaaQAA";"";"";"1";"9.99";"67242090179578"
"No record found in object 'Orders' for lookup by column 'Items' = '29031772355234'.";"01t4T000000ypaqQAA";"";"";"1";"9.99";"29031772355234"
"No record found in object 'Orders' for lookup by column 'Items' = '50644815526722'.";"01t4T000000ypaUQAQ";"";"";"1";"7.99";"50644815526722"
"No record found in object 'Orders' for lookup by column 'Items' = '58626922629082'.";"01t4T000000ypaKQAQ";"";"";"1";"7.99";"58626922629082"
"No record found in object 'Orders' for lookup by column 'Items' = '38752637739290'.";"01t4T000000ypaeQAA";"";"";"1";"14.99";"38752637739290"
"No record found in object 'Orders' for lookup by column 'Items' = '19691425166706'.";"01t4T000000ypZ3QAI";"";"";"1";"8.99";"19691425166706"
"No record found in object 'Orders' for lookup by column 'Items' = '03724978059002'.";"01t4T000000ypbJQAQ";"";"";"1";"9.99";"03724978059002"
"No record found in object 'Orders' for lookup by column 'Items' = '12751818463250'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"12751818463250"
"No record found in object 'Orders' for lookup by column 'Items' = '41290442359522'.";"01t4T000000ypZJQAY";"";"";"1";"15.15";"41290442359522"
"No record found in object 'Orders' for lookup by column 'Items' = '05948072624282'.";"01t4T000000ypZTQAY";"";"";"1";"15.15";"05948072624282"
"No record found in object 'Orders' for lookup by column 'Items' = '56001801428090'.";"01t4T000000ypZPQAY";"";"";"1";"15.15";"56001801428090"
"No record found in object 'Orders' for lookup by column 'Items' = '37320137830810'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"37320137830810"
"No record found in object 'Orders' for lookup by column 'Items' = '66504141072970'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"66504141072970"
"No record found in object 'Orders' for lookup by column 'Items' = '64210684438314'.";"01t4T000000ypaUQAQ";"";"";"1";"7.99";"64210684438314"
"No record found in object 'Orders' for lookup by column 'Items' = '21674973488290'.";"01t4T000000ypZdQAI";"";"";"1";"15.15";"21674973488290"
"No record found in object 'Orders' for lookup by column 'Items' = '62574906373330'.";"01t4T000000ypZIQAY";"";"";"1";"15.99";"62574906373330"
"No record found in object 'Orders' for lookup by column 'Items' = '27703301814074'.";"01t4T000000ypZbQAI";"";"";"1";"15.15";"27703301814074"
"No record found in object 'Orders' for lookup by column 'Items' = '00017746681138'.";"01t4T000000ypZ9QAI";"";"";"1";"8.5";"00017746681138"
"No record found in object 'Orders' for lookup by column 'Items' = '54531150597730'.";"01t4T000000ypZUQAY";"";"";"1";"15.15";"54531150597730"
"No record found in object 'Orders' for lookup by column 'Items' = '19205817076762'.";"01t4T000000ypZTQAY";"";"";"1";"15.15";"19205817076762"
"No record found in object 'Orders' for lookup by column 'Items' = '26731845892842'.";"01t4T000000ypZ9QAI";"";"";"1";"8.5";"26731845892842"
"No record found in object 'Orders' for lookup by column 'Items' = '10578702434370'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"10578702434370"
"No record found in object 'Orders' for lookup by column 'Items' = '34445752455170'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"34445752455170"
"No record found in object 'Orders' for lookup by column 'Items' = '13688978404762'.";"01t4T000000ypZXQAY";"";"";"1";"15.15";"13688978404762"
"No record found in object 'Orders' for lookup by column 'Items' = '51876449696562'.";"01t4T000000ypZWQAY";"";"";"1";"15.15";"51876449696562"
"No record found in object 'Orders' for lookup by column 'Items' = '33592017054178'.";"01t4T000000ypasQAA";"";"";"1";"14.99";"33592017054178"
"No record found in object 'Orders' for lookup by column 'Items' = '15927111518762'.";"01t4T000000ypZKQAY";"";"";"1";"15.15";"15927111518762"
"No record found in object 'Orders' for lookup by column 'Items' = '19307787365826'.";"01t4T000000ypajQAA";"";"";"1";"8.41";"19307787365826"
"No record found in object 'Orders' for lookup by column 'Items' = '45379240939922'.";"01t4T000000ypZ6QAI";"";"";"1";"8.99";"45379240939922"
"No record found in object 'Orders' for lookup by column 'Items' = '35675400138178'.";"01t4T000000ypabQAA";"";"";"1";"14.99";"35675400138178"
"No record found in object 'Orders' for lookup by column 'Items' = '51704592377882'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"51704592377882"
"No record found in object 'Orders' for lookup by column 'Items' = '12493873684682'.";"01t4T000000ypZcQAI";"";"";"1";"15.15";"12493873684682"
"No record found in object 'Orders' for lookup by column 'Items' = '10938384523578'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"10938384523578"
"No record found in object 'Orders' for lookup by column 'Items' = '22756613171474'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"22756613171474"
"No record found in object 'Orders' for lookup by column 'Items' = '39087378294866'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"39087378294866"
"No record found in object 'Orders' for lookup by column 'Items' = '45809786773730'.";"01t4T000000ypYzQAI";"";"";"1";"8.5";"45809786773730"
"No record found in object 'Orders' for lookup by column 'Items' = '01845675382826'.";"01t4T000000ypb3QAA";"";"";"1";"12.99";"01845675382826"
"No record found in object 'Orders' for lookup by column 'Items' = '64660867927058'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"64660867927058"
"No record found in object 'Orders' for lookup by column 'Items' = '25274448297506'.";"01t4T000000ypZUQAY";"";"";"1";"15.15";"25274448297506"
"No record found in object 'Orders' for lookup by column 'Items' = '45929462311786'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"45929462311786"
"No record found in object 'Orders' for lookup by column 'Items' = '35820955694818'.";"01t4T000000ypYRQAY";"";"";"1";"112.01";"35820955694818"
"No record found in object 'Orders' for lookup by column 'Items' = '38472707544626'.";"01t4T000000ypZdQAI";"";"";"1";"15.15";"38472707544626"
"No record found in object 'Orders' for lookup by column 'Items' = '28436598719746'.";"01t4T000000ypYuQAI";"";"";"1";"5.99";"28436598719746"
"No record found in object 'Orders' for lookup by column 'Items' = '27894864716850'.";"01t4T000000ypZ0QAI";"";"";"1";"8.5";"27894864716850"
"No record found in object 'Orders' for lookup by column 'Items' = '05451611455850'.";"01t4T000000ypZHQAY";"";"";"1";"15.15";"05451611455850"
"No record found in object 'Orders' for lookup by column 'Items' = '30100214609522'.";"01t4T000000ypYyQAI";"";"";"1";"8.5";"30100214609522"
"No record found in object 'Orders' for lookup by column 'Items' = '59949956902474'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"59949956902474"
"No record found in object 'Orders' for lookup by column 'Items' = '57504162720570'.";"01t4T000000ypZcQAI";"";"";"1";"15.15";"57504162720570"
"No record found in object 'Orders' for lookup by column 'Items' = '17884420384026'.";"01t4T000000ypaSQAQ";"";"";"1";"7.99";"17884420384026"
"No record found in object 'Orders' for lookup by column 'Items' = '55422630398610'.";"01t4T000000ypYZQAY";"";"";"1";"14.99";"55422630398610"
"No record found in object 'Orders' for lookup by column 'Items' = '36804389418066'.";"01t4T000000ypYxQAI";"";"";"1";"8.5";"36804389418066"
"No record found in object 'Orders' for lookup by column 'Items' = '25530356492266'.";"01t4T000000ypZHQAY";"";"";"1";"15.15";"25530356492266"
"No record found in object 'Orders' for lookup by column 'Items' = '01492096007306'.";"01t4T000000ypZ3QAI";"";"";"1";"8.99";"01492096007306"
"No record found in object 'Orders' for lookup by column 'Items' = '22797481885322'.";"01t4T000000ypZ9QAI";"";"";"1";"8.5";"22797481885322"
"No record found in object 'Orders' for lookup by column 'Items' = '39290969947234'.";"01t4T000000ypb7QAA";"";"";"1";"14.99";"39290969947234"
"No record found in object 'Orders' for lookup by column 'Items' = '59593980600370'.";"01t4T000000ypZ4QAI";"";"";"1";"10.14";"59593980600370"
"No record found in object 'Orders' for lookup by column 'Items' = '58332621723986'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"58332621723986"
"No record found in object 'Orders' for lookup by column 'Items' = '00715963536290'.";"01t4T000000ypZYQAY";"";"";"1";"15.15";"00715963536290"
"No record found in object 'Orders' for lookup by column 'Items' = '52046590720706'.";"01t4T000000ypagQAA";"";"";"1";"14.99";"52046590720706"
"No record found in object 'Orders' for lookup by column 'Items' = '27038061513186'.";"01t4T000000ypZCQAY";"";"";"1";"8.5";"27038061513186"
"No record found in object 'Orders' for lookup by column 'Items' = '28270750356298'.";"01t4T000000ypYzQAI";"";"";"1";"8.5";"28270750356298"
